,Tweets,Name,SA,top_words,top_probs
0,@Handserifed @retrosher @maddow @McFaul And now we all know why Trump hates the media. Cuz We al know what Russia a… https://t.co/ai1h5QTxqn,mca05,0,"['trump', 'http', 'know', 'davidhogg', 'mdmbqrqhm', 'speakerryan', 'maddow', 'flotu', 'inittowinit', 'realdonaldtrump']","[0.07182057, 0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264]"
1,"@RandyRainbow  ""You're a foul one Mr. Trump, you're a nasty, filthy lump.

You're treachery is laced with evil and… https://t.co/MJC3VB5h7N",CarylAnne1963,-1,"['trump', 'http', 'putin', 'want', 'didn’t', 'summit', 'mhduyjlxqv', 'busi', 'interfer', 'hmmm']","[0.084432915, 0.04819826, 0.036673557, 0.0355104, 0.024219029, 0.024219029, 0.024219025, 0.024219025, 0.024219025, 0.024219025]"
2,"Maybe it’s not a pee tape. Maybe Trump was having sex with a guy, or guys https://t.co/tC5XIOTBLZ",Postalman,0,"['trump', 'http', 'mayb', 'gui', 'putin', 'shame', 'eart…', 'basebal', 'shutout', 'rout']","[0.09956714, 0.05993318, 0.047463957, 0.04684247, 0.03845096, 0.03845096, 0.038450956, 0.038450956, 0.038450956, 0.038450956]"
3,@USARanger63 @TD1TribeKU @realDonaldTrump But never stupid enough to be a trump traitor 😂😂😂😂,lostinabss,1,"['trump', 'http', 'she’', 'like', 'appear', 'get', 'don’t', 'pretti', 'like…', 'migrain']","[0.055077434, 0.04440422, 0.03677929, 0.03677929, 0.018481137, 0.018481137, 0.018481137, 0.018481135, 0.018481135, 0.018481135]"
4,@realDonaldTrump And the biggest enemy of the American people is Donald Trump #russian puppet #fake president #treason weasel,lostinabss,-1,"['fake', 'weasel', 'biggest', 'donald', 'enemi', 'american', 'realdonaldtrump', 'treason', 'russian', 'trump']","[0.0534109, 0.0534109, 0.05341089, 0.05341089, 0.05341089, 0.05341089, 0.05341089, 0.05341089, 0.05341089, 0.05341089]"
5,@poetofscience @laureldavilacpa @DPOC @kdeleon What vital committees? She hasn’t helped us deny Trump nominees or S… https://t.co/Iq05qYNNj4,KareemGongora,1,"['trump', 'http', 'help', 'nomine', 'iqqynnj', 'vital', 'poetofsci', 'opinion', 'laureldavilacpa', 'dpoc']","[0.0720172, 0.0720172, 0.036187753, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775]"
6,@AndrewEvans01 @stevemiller999 @CA_Dem @fontanadems She is opposing him but her seniority hasn’t helped one bit in… https://t.co/y5usYqQkre,KareemGongora,0,"['http', 'trump', 'mayor', 'despit', 'win', 'hasn’t', 'nomine', 'msndzklm', 'wai', 'last']","[0.07014682, 0.04684223, 0.02353764, 0.02353764, 0.02353764, 0.023537636, 0.023537636, 0.023537636, 0.023537636, 0.023537636]"
7,"Even President Trump gets run down, tired etc  with all that he has on his plate....
And, the Hateful People that n… https://t.co/MeAbuQHRwx",tmac1222,-1,"['trump', 'report', 'tire', 'run', 'plate', 'get', 'meabuqhrwx', 'presid', 'like', 'peopl']","[0.085822515, 0.034687348, 0.034687348, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344]"
8,RT @sbsun: Opinion: Trump blows hot air in Helsinki: Political Cartoons https://t.co/EUE5wzYXDn,PhilDeCarolis,1,"['http', 'trump', 'putin', 'hope', 'consp…', 'szhumcfghi', 'presid', 'abc', 'publicli', 'chook']","[0.05965089, 0.057240136, 0.038289916, 0.038289916, 0.038289912, 0.038289912, 0.038289912, 0.038289912, 0.038289912, 0.038289912]"
9,@maddow what military agreement did Trump enter into with Russia at his secret meeting????,CarylAnne1963,-1,"['russia', 'maddow', 'agreement', 'enter', 'meet', 'militari', 'trump', 'secret', 'ye', 'hhkiynuz']","[0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.00071890734, 0.00071890734]"
