,review,review header,sentiments,sentiment label
0,Good service for years,Good customer service,0.4404,Positive
1,All the staff were very responsive to meetig the needs I addressed,Responsible,0.4201,Positive
2,it was very fast,Fast/Quick/Speedy/Timely,0.0,Neutral
3,"Quick, friendly great vacume job!!",Friendly,0.8353,Very Positive
4,They were extremely friendlu and efficient,Friendly,0.4703,Positive
5,I love the quick service and complimentary vacuum,Fast/Quick/Speedy/Timely,0.7964,Very Positive
6,"The friendly, fast, and efficient service!",Friendly,0.7424,Very Positive
7,"The guys at the Woodlawn location are always nice, fast, and don't try to sell me extra services",Good customer service,0.4215,Positive
8,"close by work, prior experience with the jiffy lube I took the car to,  have been using this jiffy lube for several years",Convenient,0.0,Neutral
9,friendly quick efficient service!,Friendly,0.7424,Very Positive
10,"I have used this location for more than 15 years, and experienced the change in management",Convenient,0.0,Neutral
11,good service and good exam of my car,Good customer service,0.7003,Very Positive
12,Staff was friendly and provided prompt service,Friendly,0.4939,Positive
13,Fast and great customer service,Good customer service,0.6249,Very Positive
14,"Great job by workers, great communication, in and out quick!",Good customer service,0.8588,Very Positive
15,Done very fast but professional,Professional,0.0,Neutral
16,The quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
17,"They were coutious, friendly, knowledgeable and fast",Good customer service,0.4939,Positive
18,The service was good,Good customer service,0.4404,Positive
19,Love me some D$ and crew!,Good customer service,0.6696,Very Positive
20,The experience with them has always been great! They expain everything about what you need and what they recommend,Knowledgeable employees,0.784,Very Positive
21,Courtesy of the staff,Friendly,0.3612,Positive
22,I know what to expect and the cost for service,Cost,0.0,Neutral
23,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
24,Quick close and pleasant people,Friendly,0.5106,Very Positive
25,polite people and good service,Friendly,0.4404,Positive
26,quick fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
27,"the time, in and out I like that",Fast/Quick/Speedy/Timely,0.3612,Positive
28,"Prompt, friendly service",Fast/Quick/Speedy/Timely,0.4939,Positive
29,Quick and fair,Good customer service,0.3182,Positive
30,Location,Convenient,0.0,Neutral
31,Great staff! Super helpful and friendly very knowledgable and trustworthy I had a five star experience with this location and will definitely be back,Friendly,0.9677,Very Positive
32,speed,Fast/Quick/Speedy/Timely,0.0,Neutral
33,them manager went over and above  to help me with my AC,Good customer service,0.4019,Positive
34,Very good service everything was great,Good customer service,0.807,Very Positive
35,The fast service the nice And efficient workers,Good customer service,0.6808,Very Positive
36,"There was a routine service that wasn't completed, my windows were cleaned",Good customer service,0.0,Neutral
37,It's a convenient location,Convenient,0.0,Neutral
38,Great service and good recommendations,Good customer service,0.7906,Very Positive
39,I trust that they will be quick and do the job right,Responsible,0.5106,Very Positive
40,Was able to be seen quickly and car was finished very quickly as well however i am not sure what other types of vehicle maintence services are offered at your facility,Fast/Quick/Speedy/Timely,0.1032,Positive
41,I like going to the same place,Convenient,0.3612,Positive
42,The service is great,Good customer service,0.6249,Very Positive
43,Yes,Good customer service,0.4019,Positive
44,They take care of my car each time,Good customer service,0.4939,Positive
45,The speed in which the job is done,Fast/Quick/Speedy/Timely,0.0,Neutral
46,It's convienant and affordable,Convenient,0.0,Neutral
47,Easy and fast service,Fast/Quick/Speedy/Timely,0.4404,Positive
48,"The oil change technicians are very friendly, knowledgeable, and  they get you out in a ""jiffy""",Knowledgeable employees,0.5413,Very Positive
49,Good service and friendly people,Good customer service,0.7269,Very Positive
50,I was satisfied overall,Good customer service,0.4215,Positive
51,The way the employee treatment ,Good customer service,0.0,Neutral
52,Excellent,Good customer service,0.5719,Very Positive
53,Courteous informative,Good customer service,0.5106,Very Positive
54,Quick & professional service,Professional,0.0,Neutral
55,The service was just what I expected,Good customer service,0.0,Neutral
56,Yes,Good customer service,0.4019,Positive
57,liked the service I have been given,Good customer service,0.4215,Positive
58,fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
59,Quick fast and easy very comforting experience,Fast/Quick/Speedy/Timely,0.7089,Very Positive
60,The service is amazing and the best customer service,Good customer service,0.8402,Very Positive
61,All the employees were very helpful,Professional,0.4754,Positive
62,Fast and good service,Fast/Quick/Speedy/Timely,0.4404,Positive
63,Speedy service,Fast/Quick/Speedy/Timely,0.0,Neutral
64,"convenience, continuity",Convenient,0.0,Neutral
65,Quick and efficient and friendly plus they give you some useful tips on how to maintain your vehicle,Fast/Quick/Speedy/Timely,0.836,Very Positive
66,That was right on point very generous and very knowledgeable,Knowledgeable employees,0.5563,Very Positive
67,"I go to this store, they listen, once I tell them I don't want any recommendations , they leave me alone",Responsible,-0.3447,Negative
68,The Staff Was Friendly And Knowledgeable!!,Friendly,0.5837,Very Positive
69,I always have received prompt and courteous service from Jiffy Lube,Good customer service,0.5106,Very Positive
70,Quick and thorough service,Good customer service,0.0,Neutral
71,They always give me great service,Good customer service,0.6249,Very Positive
72,"I love the techicians they are nice, friendly and knowledgable",Friendly,0.8807,Very Positive
73,I like that it's quick and easy but I prefer a shop down the street,Convenient,0.4019,Positive
74,"Dwayne and the team were professional and pleasant, Great customer service, though the wait was 45 mins",Good customer service,0.8126,Very Positive
75,The manager Brian is so professional and personal with your needs,Professional,0.0,Neutral
76,Service people are great and service is honest and fast,Good customer service,0.8126,Very Positive
77,I always have a great experience at that location,Good customer service,0.6249,Very Positive
78,Brian and his team always provide top-notch service and go the second mile to assure complete satisfaction,Good customer service,0.6486,Very Positive
79,Everyone was friendly and informative and helpful,Friendly,0.7184,Very Positive
80,Customer service was great,Good customer service,0.6249,Very Positive
81,"Quick,friendly, understanding",Friendly,0.0,Neutral
82,Just for the fact that I didn't need a appt and my car was taken care of in a good amount of time,Good customer service,0.7269,Very Positive
83,Quick-service along with knowledgeable technicians,Fast/Quick/Speedy/Timely,0.0,Neutral
84,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
85,Been going there for years,Convenient,0.0,Neutral
86,Thoroughness and speed of service,Fast/Quick/Speedy/Timely,0.0,Neutral
87,Quick and reasonable service,Good customer service,0.0,Neutral
88,It wad very good,Good customer service,0.4927,Positive
89,good service,Good customer service,0.4404,Positive
90,"Organize, Precise and Efficient",Fast/Quick/Speedy/Timely,0.4215,Positive
91,I've been a regular customer for all my cars at the Jiffy Lube on Rt,Good customer service,0.0,Neutral
92,Staff seen Knowledgeable and courteous,Knowledgeable employees,0.5106,Very Positive
93,Super quick service,Fast/Quick/Speedy/Timely,0.5994,Very Positive
94,The staff at the shop was very helpful to me and my car was checked out very quickly and In a very safe way,Friendly,0.742,Very Positive
95,Customer for over 5 years,Convenient,0.0,Neutral
96,"Being a senior woman, I believe that I was treated fairly, not taken advantage of",Good customer service,-0.1877,Negative
97,"The young man that helped me couldn't have been nicer, faster or more helpful!  Great customer service!!!",Friendly,0.8038,Very Positive
98,Great! Fast!,Fast/Quick/Speedy/Timely,0.6892,Very Positive
99,Angel provided great customer service,Good customer service,0.6249,Very Positive
100,Great staff Angel and the team are awesome!,Good customer service,0.8588,Very Positive
101,Angel and the other tech were extremely polite and took care of all my requests!,Friendly,0.5411,Very Positive
102,No wait time,Fast/Quick/Speedy/Timely,-0.296,Negative
103,"kindness, courtesy and good service",Good customer service,0.8126,Very Positive
104,They were really fast and nice to deal with,Fast/Quick/Speedy/Timely,0.4703,Positive
105,"Have been a customer for about 10 years and equally happy with the service, especially my location!",Good customer service,0.6114,Very Positive
106,Satisfaction with outcome,Good customer service,0.4404,Positive
107,Very polite employees,Friendly,0.0,Neutral
108,"The staff was prompt, courteous, and professional",Friendly,0.5106,Very Positive
109,I was in and out quickly and the repair job was good,Fast/Quick/Speedy/Timely,0.4404,Positive
110,VERY GOOD SERVICE,Good customer service,0.4927,Positive
111,"Everyone very courteous and friendly, very good experience",Friendly,0.882,Very Positive
112,Customer service by the staff,Good customer service,0.0,Neutral
